TOA5	CR6Series	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1.CR6	58711	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
7/9/2016 0:00	4369	0.017	0.06	0.065	0.053	0.058	21.16	21.79	18.17	16.31	15.1	-872	21.97	-400.4	21.2	-348.3	17.8	-328	16.31	10.06
7/9/2016 0:15	4370	0.017	0.06	0.065	0.053	0.058	20.84	21.65	18.19	16.3	15.1	-881	21.69	-401.4	21.17	-349.3	17.8	-328.4	16.3	10.06
7/9/2016 0:30	4371	0.017	0.06	0.065	0.052	0.058	20.54	21.52	18.2	16.31	15.1	-898	21.41	-401.5	21.1	-349.6	17.8	-328.5	16.3	10.03
7/9/2016 0:45	4372	0.017	0.06	0.065	0.052	0.058	20.27	21.37	18.22	16.31	15.1	-916	21.14	-402.6	21.05	-349.9	17.8	-328.2	16.3	10.04
7/9/2016 1:00	4373	0.017	0.06	0.065	0.052	0.058	20.03	21.25	18.23	16.31	15.08	-934	20.9	-403.5	21	-350.9	17.8	-327.9	16.3	10.04
7/9/2016 1:15	4374	0.017	0.06	0.065	0.052	0.058	19.87	21.11	18.25	16.3	15.1	-937	20.7	-404.6	20.92	-351.1	17.8	-328.3	16.3	10
7/9/2016 1:30	4375	0.017	0.06	0.065	0.052	0.057	19.76	20.98	18.26	16.31	15.09	-952	20.55	-406.5	20.87	-351.1	17.8	-327.6	16.3	10.03
7/9/2016 1:45	4376	0.017	0.06	0.065	0.052	0.058	19.67	20.85	18.27	16.31	15.09	-953	20.43	-409	20.8	-351.7	17.8	-327.6	16.3	10.01
7/9/2016 2:00	4377	0.017	0.06	0.065	0.052	0.058	19.59	20.74	18.29	16.32	15.09	-955	20.33	-410.5	20.73	-351.9	17.8	-327.6	16.3	10
7/9/2016 2:15	4378	0.017	0.06	0.065	0.052	0.058	19.5	20.62	18.29	16.31	15.08	-959	20.22	-411.7	20.68	-352	17.8	-327	16.3	10.01
7/9/2016 2:30	4379	0.017	0.06	0.065	0.052	0.058	19.41	20.52	18.29	16.31	15.09	-964	20.13	-413.6	20.6	-352.1	17.87	-326.7	16.3	9.99
7/9/2016 2:45	4380	0.016	0.06	0.065	0.052	0.058	19.34	20.42	18.3	16.31	15.09	-967	20.04	-415.3	20.53	-353.1	17.9	-326.6	16.3	9.99
7/9/2016 3:00	4381	0.016	0.06	0.065	0.052	0.057	19.25	20.33	18.31	16.31	15.08	-967	19.95	-415.9	20.48	-353.3	17.9	-326.8	16.3	9.99
7/9/2016 3:15	4382	0.016	0.06	0.065	0.052	0.057	19.12	20.23	18.31	16.31	15.09	-970	19.84	-416.9	20.4	-352.9	17.9	-326.6	16.3	10
7/9/2016 3:30	4383	0.016	0.06	0.065	0.052	0.058	18.9	20.14	18.31	16.31	15.08	-979	19.69	-417.9	20.33	-353.6	17.9	-325.7	16.3	9.99
7/9/2016 3:45	4384	0.016	0.06	0.065	0.052	0.057	18.67	20.07	18.32	16.31	15.09	-989	19.44	-418.3	20.3	-353.5	17.9	-325.5	16.3	9.99
7/9/2016 4:00	4385	0.016	0.06	0.065	0.052	0.058	18.45	19.98	18.31	16.31	15.09	-997	19.22	-418.8	20.21	-353.6	17.9	-325.5	16.3	9.99
7/9/2016 4:15	4386	0.016	0.06	0.065	0.052	0.058	18.23	19.89	18.32	16.31	15.08	-1009	19.03	-419.7	20.18	-354	17.9	-324.9	16.3	9.99
7/9/2016 4:30	4387	0.016	0.06	0.065	0.052	0.057	18.02	19.8	18.32	16.31	15.09	-1029	18.83	-420.2	20.1	-354	17.9	-324.4	16.3	9.99
7/9/2016 4:45	4388	0.016	0.059	0.065	0.052	0.058	17.82	19.71	18.31	16.31	15.09	-1046	18.65	-420.8	20.05	-354	17.9	-323.9	16.3	9.99
7/9/2016 5:00	4389	0.016	0.059	0.065	0.052	0.058	17.61	19.6	18.31	16.31	15.08	-1057	18.46	-421.5	20	-354.1	17.9	-323.7	16.3	9.97
