"TOA5","1712","CR6","1712","CR6.Std.02","CPU:VMCprogramGOOD_Pit1.CR6","58711","SoilPit1"
"TIMESTAMP","RECORD","VWC_1_Avg","VWC_2_Avg","VWC_3_Avg","VWC_4_Avg","VWC_5_Avg","T_1_Avg","T_2_Avg","T_3_Avg","T_4_Avg","T_5_Avg","Tension_1_Avg","Temp_1_Avg","Tension_2_Avg","Temp_2_Avg","Tension_3_Avg","Temp_3_Avg","Tension_4_Avg","Temp_4_Avg","BattV_Min"
"TS","RN","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","Deg C","Deg C","Deg C","Deg C","Deg C","kPa","Deg C","kPa","Deg C","kPa","Deg C","kPa","Deg C","Volts"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min"
"2016-08-23 08:00:00",8697,0.01,0.042,0.043,0.037,0.033,12.92,17.8,19.91,18.41,17.28,-1994,14.17,-904,19.63,-4756,19.8,-2942,18.4,12.32
"2016-08-23 08:15:00",8698,0.01,0.042,0.043,0.037,0.033,12.83,17.69,19.9,18.4,17.27,-2017,14.07,-913,19.51,-4762,19.8,-2953,18.4,12.33
"2016-08-23 08:30:00",8699,0.01,0.042,0.043,0.037,0.033,12.8,17.57,19.88,18.41,17.28,-2020,14,-916,19.39,-4788,19.8,-2938,18.4,12.33
"2016-08-23 08:45:00",8700,0.01,0.042,0.043,0.037,0.033,12.83,17.47,19.86,18.41,17.28,-2026,14,-918,19.3,-4794,19.8,-2935,18.4,12.34
"2016-08-23 09:00:00",8701,0.01,0.042,0.043,0.037,0.033,12.9,17.36,19.84,18.41,17.28,-2032,14,-923,19.2,-4761,19.8,-2940,18.4,12.34
"2016-08-23 09:15:00",8702,0.01,0.042,0.043,0.037,0.033,13.02,17.27,19.82,18.41,17.28,-2028,14.02,-931,19.13,-4768,19.8,-2935,18.4,12.33
"2016-08-23 09:30:00",8703,0.01,0.042,0.043,0.037,0.033,13.15,17.18,19.8,18.4,17.27,-2015,14.11,-934,19.03,-4759,19.8,-2935,18.4,12.33
"2016-08-23 09:45:00",8704,0.01,0.042,0.043,0.037,0.033,13.3,17.1,19.78,18.42,17.27,-1965,14.21,-941,18.96,-4787,19.76,-2928,18.4,12.33
"2016-08-23 10:00:00",8705,0.01,0.042,0.043,0.037,0.033,13.45,17.04,19.75,18.41,17.28,-1989,14.31,-947,18.87,-4790,19.7,-2936,18.4,12.34
"2016-08-23 10:15:00",8706,0.01,0.042,0.043,0.037,0.033,13.67,16.97,19.72,18.41,17.28,-1985,14.5,-938,18.8,-4765,19.7,-2937,18.4,12.83
"2016-08-23 10:30:00",8707,0.01,0.042,0.043,0.037,0.033,13.79,16.94,19.71,18.41,17.27,-1947,14.55,-940,18.71,-4785,19.7,-2921,18.4,12.77
"2016-08-23 10:45:00",8708,0.01,0.042,0.043,0.037,0.033,13.98,16.91,19.69,18.4,17.27,-1927,14.68,-943,18.65,-4805,19.7,-2920,18.4,12.8
"2016-08-23 11:00:00",8709,0.01,0.042,0.043,0.037,0.033,14.16,16.89,19.66,18.41,17.29,-1892,14.84,-948,18.6,-4793,19.7,-2913,18.4,12.8
"2016-08-23 11:15:00",8710,0.01,0.042,0.043,0.037,0.033,14.36,16.87,19.64,18.41,17.27,-1874,14.98,-947,18.51,-4831,19.7,-2920,18.4,12.8
"2016-08-23 11:30:00",8711,0.01,0.042,0.043,0.037,0.033,14.57,16.85,19.62,18.41,17.28,-1860,15.15,-951,18.49,-4803,19.7,-2917,18.4,12.81
"2016-08-23 11:45:00",8712,0.01,0.042,0.043,0.037,0.033,14.79,16.86,19.59,18.41,17.28,-1818,15.31,-952,18.4,-4811,19.7,-2923,18.4,12.81
"2016-08-23 12:00:00",8713,0.01,0.042,0.043,0.037,0.033,15.06,16.86,19.56,18.41,17.29,-1743,15.49,-954,18.4,-4819,19.68,-2928,18.4,12.8
"2016-08-23 12:15:00",8714,0.01,0.042,0.043,0.037,0.033,15.86,16.88,19.53,18.4,17.28,-1751,15.75,-958,18.33,-4800,19.6,-2924,18.4,12.8
"2016-08-23 12:30:00",8715,0.011,0.042,0.043,0.037,0.033,17.1,16.89,19.51,18.4,17.28,-1697,16.25,-955,18.3,-4815,19.6,-2932,18.4,12.8
"2016-08-23 12:45:00",8716,0.011,0.042,0.043,0.037,0.033,18.31,16.94,19.49,18.39,17.29,-1622,16.83,-954,18.3,-4816,19.6,-2929,18.4,12.81
"2016-08-23 13:00:00",8717,0.011,0.042,0.043,0.037,0.033,19.6,17.01,19.46,18.39,17.28,-1541,17.48,-956,18.21,-4811,19.6,-2927,18.4,12.82
"2016-08-23 13:15:00",8718,0.011,0.042,0.043,0.037,0.033,20.74,17.1,19.44,18.4,17.29,-1338,18.31,-956,18.2,-4810,19.6,-2924,18.4,12.84
"2016-08-23 13:30:00",8719,0.012,0.042,0.043,0.037,0.033,21.76,17.27,19.41,18.39,17.28,-994,19.32,-956,18.2,-4830,19.6,-2939,18.4,12.83
"2016-08-23 13:45:00",8720,0.012,0.042,0.043,0.037,0.033,23.18,17.47,19.38,18.39,17.29,-941,20.41,-953,18.28,-4860,19.55,-2921,18.4,12.83
"2016-08-23 14:00:00",8721,0.012,0.042,0.043,0.037,0.033,24.78,17.73,19.36,18.39,17.29,-886,21.55,-954,18.3,-4830,19.5,-2923,18.4,12.83
"2016-08-23 14:15:00",8722,0.013,0.042,0.043,0.037,0.033,26.3,18.04,19.33,18.39,17.29,-844,22.73,-953,18.37,-4868,19.41,-2942,18.4,12.84
"2016-08-23 14:30:00",8723,0.013,0.042,0.043,0.037,0.033,27.72,18.4,19.31,18.38,17.28,-798.6,23.97,-946,18.45,-4849,19.4,-2925,18.4,12.87
"2016-08-23 14:45:00",8724,0.014,0.042,0.043,0.037,0.033,29.02,18.79,19.29,18.38,17.29,-761.8,25.13,-941,18.55,-4858,19.4,-2930,18.4,12.87
"2016-08-23 15:00:00",8725,0.014,0.042,0.042,0.037,0.033,30.18,19.2,19.26,18.38,17.28,-725.6,26.28,-935,18.66,-4853,19.4,-2939,18.4,12.88
"2016-08-23 15:15:00",8726,0.014,0.042,0.042,0.037,0.033,31.26,19.64,19.24,18.37,17.28,-692.3,27.39,-921,18.81,-4862,19.4,-2942,18.4,12.87
"2016-08-23 15:30:00",8727,0.014,0.042,0.042,0.037,0.033,32.2,20.09,19.22,18.37,17.28,-664.6,28.47,-914,18.97,-4898,19.4,-2933,18.4,12.87
"2016-08-23 15:45:00",8728,0.015,0.042,0.042,0.037,0.033,33.05,20.53,19.2,18.37,17.28,-635.3,29.43,-904,19.15,-4886,19.37,-2939,18.4,12.91
"2016-08-23 16:00:00",8729,0.015,0.043,0.042,0.037,0.032,33.81,20.99,19.17,18.37,17.27,-617.3,30.36,-899,19.32,-4947,19.3,-2957,18.4,12.9
"2016-08-23 16:15:00",8730,0.015,0.043,0.042,0.037,0.032,34.45,21.44,19.14,18.37,17.28,-602.4,31.21,-890,19.55,-4880,19.3,-2956,18.4,12.91
"2016-08-23 16:30:00",8731,0.016,0.043,0.042,0.037,0.032,34.63,21.87,19.13,18.36,17.28,-583.2,31.75,-885,19.77,-4872,19.3,-2958,18.4,12.91
"2016-08-23 16:45:00",8732,0.016,0.043,0.042,0.037,0.032,34.19,22.27,19.11,18.35,17.28,-577.3,31.95,-881,19.97,-4888,19.3,-2962,18.4,12.91
"2016-08-23 17:00:00",8733,0.016,0.043,0.042,0.037,0.032,33.66,22.63,19.11,18.35,17.29,-576.5,31.9,-876,20.18,-4953,19.3,-2954,18.4,12.91
"2016-08-23 17:15:00",8734,0.015,0.043,0.042,0.037,0.032,33.06,22.93,19.1,18.34,17.27,-578.6,31.73,-873,20.39,-4926,19.3,-2957,18.4,12.91
"2016-08-23 17:30:00",8735,0.015,0.043,0.042,0.037,0.032,32.55,23.18,19.09,18.34,17.27,-580.9,31.51,-867,20.58,-4910,19.23,-2956,18.4,12.91
"2016-08-23 17:45:00",8736,0.015,0.043,0.042,0.037,0.032,32.1,23.39,19.08,18.33,17.27,-593.7,31.17,-866,20.77,-4968,19.2,-2960,18.4,12.91
"2016-08-23 18:00:00",8737,0.015,0.043,0.042,0.037,0.032,31.69,23.57,19.07,18.34,17.27,-602.1,30.69,-861,20.95,-4988,19.2,-2965,18.4,12.91
"2016-08-23 18:15:00",8738,0.015,0.043,0.042,0.037,0.032,31.34,23.68,19.07,18.33,17.28,-613.8,30.25,-853,21.11,-5015,19.2,-2966,18.4,12.91
"2016-08-23 18:30:00",8739,0.014,0.043,0.042,0.037,0.032,30.84,23.77,19.06,18.32,17.27,-618.2,29.78,-851,21.25,-5021,19.2,-2969,18.4,12.91
"2016-08-23 18:45:00",8740,0.014,0.043,0.042,0.037,0.032,29.97,23.83,19.06,18.31,17.28,-630.2,29.15,-841,21.39,-4969,19.2,-2983,18.4,12.9
"2016-08-23 19:00:00",8741,0.014,0.043,0.042,0.037,0.032,29.09,23.85,19.08,18.31,17.27,-648.5,28.59,-835,21.51,-4988,19.2,-2969,18.37,12.88
"2016-08-23 19:15:00",8742,0.014,0.043,0.042,0.037,0.032,28.39,23.86,19.08,18.3,17.27,-660.8,28.07,-830,21.62,-5014,19.2,-2982,18.31,12.88
"2016-08-23 19:30:00",8743,0.014,0.043,0.042,0.037,0.032,27.86,23.84,19.09,18.29,17.27,-665.6,27.87,-832,21.71,-5018,19.2,-2979,18.3,12.87
"2016-08-23 19:45:00",8744,0.013,0.043,0.042,0.037,0.032,27.36,23.79,19.1,18.3,17.27,-668.9,27.68,-826,21.8,-5089,19.2,-2986,18.3,12.87
"2016-08-23 20:00:00",8745,0.013,0.043,0.042,0.037,0.032,26.87,23.73,19.11,18.29,17.27,-674.4,27.43,-822,21.88,-5097,19.17,-2995,18.3,12.87
"2016-08-23 20:15:00",8746,0.013,0.043,0.042,0.037,0.032,26.3,23.69,19.12,18.28,17.26,-683.5,27.09,-819,21.9,-5111,19.12,-2990,18.3,12.87
"2016-08-23 20:30:00",8747,0.013,0.043,0.042,0.037,0.032,25.66,23.62,19.14,18.28,17.27,-704.4,26.55,-816,22,-5109,19.1,-2981,18.3,12.87
"2016-08-23 20:45:00",8748,0.013,0.043,0.042,0.037,0.032,24.97,23.55,19.15,18.27,17.26,-720.8,25.87,-813,22,-5055,19.1,-2986,18.3,12.85
"2016-08-23 21:00:00",8749,0.013,0.043,0.042,0.037,0.032,24.29,23.45,19.17,18.27,17.26,-731.1,25.25,-815,22,-5112,19.1,-3000,18.3,12.83
"2016-08-23 21:15:00",8750,0.012,0.043,0.042,0.037,0.032,23.65,23.33,19.19,18.27,17.26,-751.3,24.66,-815,22,-5051,19.1,-2998,18.3,12.84
"2016-08-23 21:30:00",8751,0.012,0.043,0.042,0.037,0.032,23.04,23.2,19.21,18.25,17.26,-776.7,24.07,-818,22,-5138,19.1,-2999,18.3,12.84
"2016-08-23 21:45:00",8752,0.012,0.043,0.042,0.037,0.032,22.45,23.06,19.23,18.26,17.26,-792.7,23.47,-819,22,-5107,19.1,-2991,18.3,12.8
"2016-08-23 22:00:00",8753,0.012,0.043,0.042,0.037,0.032,21.91,22.9,19.25,18.25,17.25,-813,22.9,-816,22,-5108,19.1,-3010,18.3,12.8
"2016-08-23 22:15:00",8754,0.012,0.043,0.042,0.037,0.032,21.4,22.73,19.26,18.24,17.26,-833,22.41,-820,22,-5174,19.11,-3013,18.3,12.81
"2016-08-23 22:30:00",8755,0.011,0.043,0.042,0.037,0.032,20.92,22.56,19.27,18.24,17.25,-859,21.95,-822,21.97,-5125,19.14,-3012,18.3,12.81
"2016-08-23 22:45:00",8756,0.011,0.043,0.042,0.037,0.032,20.49,22.38,19.29,18.24,17.25,-868,21.52,-826,21.9,-5081,19.18,-3013,18.3,12.81
"2016-08-23 23:00:00",8757,0.011,0.043,0.042,0.037,0.032,20.08,22.19,19.31,18.24,17.24,-879,21.11,-828,21.88,-5081,19.2,-3018,18.3,12.8
"2016-08-23 23:15:00",8758,0.011,0.043,0.042,0.037,0.032,19.69,22.01,19.33,18.24,17.25,-899,20.74,-835,21.8,-5071,19.2,-2994,18.3,12.81
"2016-08-23 23:30:00",8759,0.011,0.043,0.042,0.037,0.032,19.33,21.83,19.34,18.23,17.24,-917,20.37,-839,21.74,-5071,19.2,-3011,18.3,12.79
"2016-08-23 23:45:00",8760,0.011,0.043,0.042,0.037,0.032,19.01,21.64,19.37,18.22,17.24,-936,20.05,-839,21.69,-5137,19.2,-3016,18.3,12.77
