TOA5	1712	CR6	1712	CR6.Std.02	CPU:VMCprogramGOOD_Pit1_Revised0930.CR6	36864	SoilPit1													
TIMESTAMP	RECORD	VWC_1_Avg	VWC_2_Avg	VWC_3_Avg	VWC_4_Avg	VWC_5_Avg	T_1_Avg	T_2_Avg	T_3_Avg	T_4_Avg	T_5_Avg	Tension_1_Avg	Temp_1_Avg	Tension_2_Avg	Temp_2_Avg	Tension_3_Avg	Temp_3_Avg	Tension_4_Avg	Temp_4_Avg	BattV_Min
TS	RN	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	m^3/m^3	Deg C	Deg C	Deg C	Deg C	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	kPa	Deg C	Volts
		Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Avg	Min
9/30/2016 15:00	0	0.033	0.042	0.04	0.034	0.028	22.87	16.81	15.2	14.32	13.92	-490	21.85	-1306	15.75	-7999	15.2	-7999	14.5	12.97
9/30/2016 16:00	1	0.033	0.042	0.04	0.034	0.028	24.3	17.43	15.17	14.34	13.91	-458.4	23.53	-1187	15.97	-7999	15.18	-7999	14.5	12.99
9/30/2016 17:00	2	0.034	0.042	0.04	0.034	0.028	25.09	18.39	15.14	14.34	13.92	-431.5	24.88	-1176	16.38	-7999	15.1	-7999	14.5	12.99
9/30/2016 18:00	3	0.034	0.042	0.04	0.034	0.028	24.69	19.1	15.15	14.35	13.91	-421	24.87	-1102	16.84	-7999	15.1	-7999	14.5	12.96
9/30/2016 19:00	4	0.033	0.043	0.04	0.034	0.028	22.85	19.47	15.18	14.35	13.91	-428.6	23.47	-1087	17.25	-7999	15.1	-7999	14.5	12.95
9/30/2016 20:00	5	0.033	0.043	0.04	0.034	0.028	20.65	19.44	15.22	14.36	13.93	-455.1	21.64	-1080	17.54	-7999	15.1	-7999	14.5	12.94
9/30/2016 21:00	6	0.032	0.043	0.04	0.034	0.028	18.85	19.07	15.28	14.36	13.93	-485.7	19.98	-1078	17.68	-7999	15.11	-7999	14.5	12.92
9/30/2016 22:00	7	0.031	0.042	0.04	0.034	0.028	17.75	18.57	15.36	14.37	13.93	-568.6	18.71	-1080	17.63	-7999	15.19	-7999	14.53	12.91
9/30/2016 23:00	8	0.031	0.042	0.04	0.034	0.028	17.18	18.08	15.43	14.37	13.95	-642.2	17.97	-1085	17.49	-7999	15.2	-7999	14.58	12.88
10/1/2016 0:00	9	0.031	0.042	0.04	0.034	0.028	17	17.68	15.5	14.38	13.94	-662	17.61	-1092	17.32	-7999	15.2	-7999	14.6	12.88
10/1/2016 1:00	10	0.031	0.042	0.04	0.034	0.028	16.8	17.39	15.55	14.39	13.96	-685.1	17.35	-1094	17.14	-7999	15.29	-7999	14.6	12.87
10/1/2016 2:00	11	0.03	0.042	0.04	0.034	0.028	16.64	17.16	15.58	14.39	13.96	-699.5	17.14	-1101	16.98	-7999	15.3	-7999	14.6	12.88
10/1/2016 3:00	12	0.03	0.042	0.04	0.034	0.028	16.37	16.96	15.62	14.39	13.96	-718.6	16.92	-1114	16.84	-7999	15.3	-7999	14.6	12.88
10/1/2016 4:00	13	0.03	0.042	0.04	0.034	0.028	16.07	16.78	15.63	14.41	13.97	-738.2	16.66	-1114	16.72	-7999	15.38	-7999	14.6	12.87
10/1/2016 5:00	14	0.03	0.042	0.04	0.034	0.028	15.76	16.58	15.65	14.43	13.97	-755.4	16.36	-1128	16.58	-7999	15.4	-7999	14.6	12.88
10/1/2016 6:00	15	0.03	0.042	0.04	0.034	0.028	15.37	16.39	15.64	14.44	13.98	-768.8	16.03	-1138	16.47	-7999	15.4	-7999	14.6	12.89
10/1/2016 7:00	16	0.03	0.042	0.04	0.034	0.028	15.03	16.19	15.63	14.46	13.99	-790.9	15.73	-1151	16.35	-7999	15.4	-7999	14.6	12.88
10/1/2016 8:00	17	0.03	0.042	0.04	0.034	0.028	14.63	15.98	15.62	14.47	14	-820	15.36	-1161	16.23	-7999	15.4	-7999	14.6	12.88
10/1/2016 9:00	18	0.03	0.042	0.04	0.034	0.028	14.27	15.76	15.61	14.49	14	-833	15.02	-1177	16.08	-7999	15.4	-7999	14.6	12.88
10/1/2016 10:00	19	0.03	0.041	0.04	0.034	0.028	14.41	15.53	15.59	14.49	14	-843	14.97	-1183	15.95	-7999	15.4	-7999	14.64	12.88
10/1/2016 11:00	20	0.03	0.041	0.04	0.034	0.028	14.55	15.41	15.56	14.5	14.01	-846	15.08	-1207	15.82	-7999	15.4	-7999	14.7	12.88
